time,distance,velocity,raw_velocity
0.148,0.101,0.09200142,0.0666275
0.149,0.102,0.091939,0.06753159
0.15,0.103,0.09187676,0.06845093
0.151,0.104,0.09181469,0.06935883
0.152,0.106,0.09175279,0.07027817
0.153,0.107,0.09169106,0.07119751
0.154,0.108,0.09162951,0.07211304
0.155,0.11,0.09156813,0.07302856
0.156,0.111,0.09150691,0.07394409
0.157,0.112,0.09144586,0.07486343
0.158,0.113,0.09138497,0.07578278
0.159,0.115,0.09132423,0.07670593
0.16,0.116,0.09126365,0.07762527
0.161,0.117,0.09120321,0.07854462
0.162,0.119,0.09114291,0.07946396
0.163,0.12,0.09108274,0.08039093
0.164,0.121,0.09102269,0.08131027
0.165,0.123,0.09096275,0.08223724
0.166,0.124,0.09090292,0.08316422
0.167,0.125,0.09084318,0.08408737
0.168,0.127,0.09078352,0.08501053
0.169,0.128,0.09072394,0.08594131
0.17,0.129,0.09066442,0.08686829
0.171,0.131,0.09060495,0.08779526
0.172,0.132,0.09054552,0.08872223
0.173,0.134,0.09048611,0.08965302
0.174,0.135,0.09042672,0.0905838
0.175,0.136,0.09036732,0.0915184
0.176,0.138,0.09030791,0.09244919
0.177,0.139,0.09024848,0.09337616
0.178,0.141,0.090189,0.09430695
0.179,0.142,0.09012947,0.09524918
0.18,0.144,0.09006987,0.09617615
0.181,0.145,0.09001018,0.09711838
0.182,0.147,0.08995041,0.09804535
0.183,0.148,0.08989051,0.09899139
0.184,0.15,0.0898305,0.09992218
0.185,0.151,0.08977034,0.1008606
0.186,0.152,0.08971003,0.101799
0.187,0.154,0.08964955,0.1027412
0.188,0.155,0.0895889,0.1036682
0.189,0.157,0.08952805,0.1045456
0.19,0.158,0.089467,0.1053543
0.191,0.16,0.08940575,0.106102
0.192,0.162,0.08934426,0.1067886
0.193,0.163,0.08928253,0.1074028
0.194,0.165,0.08922055,0.1079597
0.195,0.166,0.08915833,0.1084557
0.196,0.168,0.08909583,0.1088829
0.197,0.169,0.08903306,0.1092377
0.198,0.171,0.08897001,0.1095467
0.199,0.172,0.08890668,0.1097755
0.2,0.174,0.08884306,0.1099434
0.201,0.176,0.08877913,0.110054
0.202,0.177,0.0887149,0.110096
0.203,0.179,0.08865037,0.1100731
0.204,0.18,0.08858553,0.109993
0.205,0.182,0.08852037,0.1098366
0.206,0.184,0.0884549,0.1096268
0.207,0.185,0.08838912,0.1093483
0.208,0.187,0.08832303,0.109005
0.209,0.189,0.08825662,0.1086006
0.21,0.19,0.08818991,0.1081314
0.211,0.192,0.08812287,0.1075935
0.212,0.194,0.08805554,0.1069946
0.213,0.195,0.08798791,0.1063347
0.214,0.197,0.08791998,0.1056099
0.215,0.199,0.08785176,0.1048164
0.216,0.2,0.08778325,0.1039619
0.217,0.202,0.08771447,0.1030426
0.218,0.204,0.08764542,0.1020584
0.219,0.205,0.08757611,0.1010132
0.22,0.207,0.08750654,0.09990311
0.221,0.209,0.08743673,0.09873199
0.222,0.21,0.08736669,0.09748459
0.223,0.212,0.08729643,0.09618378
0.224,0.214,0.08722597,0.09482193
0.225,0.216,0.08715531,0.09338379
0.226,0.217,0.08708448,0.09189224
0.227,0.219,0.08701348,0.09032822
0.228,0.221,0.08694233,0.08870316
0.229,0.223,0.08687105,0.08702087
0.23,0.225,0.08679965,0.08526611
0.231,0.226,0.08672815,0.08345413
0.232,0.228,0.08665657,0.08156586
0.233,0.23,0.08658493,0.07962799
0.234,0.232,0.08651324,0.07761765
0.235,0.234,0.08644152,0.07554245
0.236,0.235,0.08636981,0.07341385
0.237,0.237,0.08629811,0.07120514
0.238,0.239,0.08622644,0.06897354
0.239,0.241,0.08615483,0.06681824
0.24,0.243,0.0860833,0.06477737
0.241,0.245,0.08601187,0.06284714
0.242,0.246,0.08594057,0.06103516
0.243,0.248,0.0858694,0.05932236
0.244,0.25,0.08579841,0.05772781
0.245,0.252,0.08572759,0.05624771
0.246,0.254,0.085657,0.05487442
0.247,0.256,0.08558663,0.05361176
0.248,0.258,0.08551651,0.05247116
0.249,0.26,0.08544668,0.05142975
0.25,0.261,0.08537713,0.05050659
0.251,0.263,0.08530791,0.04969025
0.252,0.265,0.08523902,0.04899597
0.253,0.267,0.08517049,0.04840088
0.254,0.269,0.08510234,0.04792786
0.255,0.271,0.08503459,0.04755402
0.256,0.273,0.08496726,0.04730606
0.257,0.275,0.08490037,0.04715729
0.258,0.277,0.08483393,0.0471344
0.259,0.279,0.08476797,0.04721069
0.26,0.281,0.08470249,0.04740143
0.261,0.283,0.08463752,0.0477066
0.262,0.285,0.08457308,0.04812241
0.263,0.287,0.08450917,0.04864883
0.264,0.289,0.08444582,0.0492897
0.265,0.291,0.08438303,0.05003738
0.266,0.293,0.08432083,0.05089951
0.267,0.295,0.08425922,0.05187607
0.268,0.297,0.08419821,0.052959440000000003
0.269,0.299,0.08413783,0.05415726
0.27,0.301,0.08407806,0.0554657
0.271,0.303,0.08401893,0.05688858
0.272,0.305,0.08396044,0.05841827
0.273,0.307,0.0839026,0.06006622
0.274,0.309,0.08384542,0.06181717
0.275,0.311,0.08378891,0.06368637
0.276,0.313,0.08373305,0.0656662
0.277,0.315,0.08367787,0.06775475
0.278,0.317,0.08362336,0.06995773
0.279,0.319,0.08356952,0.07227325
0.28,0.322,0.08351635,0.07470131
0.281,0.324,0.08346386,0.07723236
0.282,0.326,0.08341204,0.07988358
0.283,0.328,0.083360890000000007,0.08264732
0.284,0.33,0.0833104,0.08551788
0.285,0.332,0.08326056,0.08850098
0.286,0.334,0.08321138,0.0915966
0.287,0.336,0.08316284,0.09480667
0.288,0.339,0.08311494,0.09808159
0.289,0.341,0.08306766,0.1012592
0.29,0.343,0.083021,0.1042919
0.291,0.345,0.08297495,0.1071835
0.292,0.347,0.08292949,0.1099319
0.293,0.349,0.08288462,0.1125374
0.294,0.352,0.0828403,0.1150036
0.295,0.354,0.08279655,0.117321
0.296,0.356,0.08275333,0.1195011
0.297,0.358,0.08271064,0.1215363
0.298,0.36,0.08266846,0.1234322
0.299,0.363,0.08262677,0.1251774
0.3,0.365,0.08258556,0.1267872
0.301,0.367,0.08254481,0.1282501
0.302,0.369,0.0825045,0.1295776
0.303,0.371,0.08246463,0.1307545
0.304,0.374,0.08242517,0.1317921
0.305,0.376,0.0823861,0.1326866
0.306,0.378,0.08234741,0.1334381
0.307,0.38,0.08230909,0.1340466
0.308,0.383,0.08227111,0.1345139
0.309,0.385,0.08223347,0.13484
0.31,0.387,0.08219614,0.1350231
0.311,0.39,0.08215911,0.1350594
0.312,0.392,0.08212237,0.1349545
0.313,0.394,0.08208591,0.1347065
0.314,0.396,0.08204971,0.1343212
0.315,0.399,0.08201375,0.133791
0.316,0.401,0.08197803,0.133112
0.317,0.403,0.08194254,0.1322975
0.318,0.406,0.08190725,0.13134
0.319,0.408,0.08187218,0.1302357
0.32,0.41,0.0818373,0.1289921
0.321,0.413,0.08180261,0.1276035
0.322,0.415,0.0817681,0.1260757
0.323,0.417,0.08173378,0.1244011
0.324,0.42,0.08169962,0.1225872
0.325,0.422,0.08166564,0.1206264
0.326,0.424,0.08163182,0.1185303
0.327,0.427,0.08159817,0.1162834
0.328,0.429,0.08156469,0.1139011
0.329,0.432,0.08153138,0.111372
0.33,0.434,0.08149825,0.1087017
0.331,0.436,0.08146529,0.1058846
0.332,0.439,0.08143252,0.102932
0.333,0.441,0.08139995,0.09983444
0.334,0.444,0.08136758,0.09659004
0.335,0.446,0.08133543,0.09320641
0.336,0.449,0.08130351,0.08968353
0.337,0.451,0.08127183,0.08600998
0.338,0.453,0.08124042,0.08224487
0.339,0.456,0.08120927,0.07855415
0.34,0.458,0.08117843,0.07498932
0.341,0.461,0.08114792,0.07154465
0.342,0.463,0.08111773,0.06822586
0.343,0.466,0.08108792,0.06502533
0.344,0.468,0.08105851,0.06195259
0.345,0.471,0.0810295,0.05899811
0.346,0.473,0.08100095,0.05617142
0.347,0.476,0.08097288,0.05346298
0.348,0.478,0.08094531,0.05088043
0.349,0.481,0.08091829,0.04841805
0.35,0.483,0.08089183,0.04608154
0.351,0.486,0.08086599,0.0438633
0.352,0.488,0.08084077,0.04177284
0.353,0.491,0.08081625,0.03980255
0.354,0.493,0.08079242,0.03795624
0.355,0.496,0.08076935,0.03623009
0.356,0.498,0.08074706,0.03463173
0.357,0.501,0.0807256,0.03314972
0.358,0.503,0.08070499,0.0317955
0.359,0.506,0.08068528,0.03056335
0.36,0.509,0.08066651,0.02945328
0.361,0.511,0.08064871,0.02846146
0.362,0.514,0.08063193,0.02760124
0.363,0.516,0.08061621,0.02685928
0.364,0.519,0.08060159,0.0262394
0.365,0.521,0.08058809,0.02573967
0.366,0.524,0.08057576,0.02536964
0.367,0.527,0.08056465,0.02511978
0.368,0.529,0.08055478,0.02499008
0.369,0.532,0.0805462,0.02498627
0.37,0.535,0.08053894,0.02510262
0.371,0.537,0.08053305,0.02534485
0.372,0.54,0.08052856,0.02570724
0.373,0.542,0.0805255,0.02619171
0.374,0.545,0.08052391,0.02680397
0.375,0.548,0.08052382,0.02753448
0.376,0.55,0.08052527,0.02838898
0.377,0.553,0.08052829,0.02936554
0.378,0.556,0.08053292,0.03046417
0.379,0.558,0.08053917,0.0316906
0.38,0.561,0.08054709,0.03303337
0.381,0.564,0.0805567,0.03450394
0.382,0.566,0.08056803,0.03609467
0.383,0.569,0.08058111,0.03780746
0.384,0.572,0.08059595,0.03964424
0.385,0.575,0.08061258,0.0416069
0.386,0.577,0.08063103,0.04368591
0.387,0.58,0.08065131,0.04589462
0.388,0.583,0.08067346,0.04819107
0.389,0.585,0.08069746,0.050457
0.39,0.588,0.08072335,0.05266571
0.391,0.591,0.08075114,0.05481148
0.392,0.594,0.08078084,0.05689812
0.393,0.596,0.08081247,0.05891991
0.394,0.599,0.08084602,0.06088638
0.395,0.602,0.08088151,0.06279182
0.396,0.605,0.08091895,0.06463432
0.397,0.607,0.08095834,0.0664196
0.398,0.61,0.08099968,0.06814003
0.399,0.613,0.08104298,0.06980133
0.4,0.616,0.08108823,0.0714035
0.401,0.619,0.08113544,0.07294083
0.402,0.621,0.0811846,0.07442284
0.403,0.624,0.08123571,0.07584381
0.404,0.627,0.08128876,0.07720375
0.405,0.63,0.08134376,0.07850075
0.406,0.633,0.0814007,0.07973671
0.407,0.636,0.08145957,0.08091545
0.408,0.638,0.08152036,0.08203316
0.409,0.641,0.08158305,0.08308792
0.41,0.644,0.08164766,0.08408356
0.411,0.647,0.08171415,0.08502007
0.412,0.65,0.08178253,0.08588982
0.413,0.653,0.08185277,0.08670616
0.414,0.655,0.08192488,0.08745956
0.415,0.658,0.08199883,0.08815193
0.416,0.661,0.0820746,0.08878517
0.417,0.664,0.0821522,0.08935547
0.418,0.667,0.0822316,0.08986664
0.419,0.67,0.08231279,0.09031677
0.42,0.673,0.08239575,0.09070778
0.421,0.676,0.08248047,0.09103775
0.422,0.679,0.08256692,0.09130287
0.423,0.681,0.08265511,0.09151268
0.424,0.684,0.08274501,0.09165955
0.425,0.687,0.0828366,0.09174728
0.426,0.69,0.08292987,0.09177208
0.427,0.693,0.0830248,0.09174156
0.428,0.696,0.08312138,0.09164238
0.429,0.699,0.0832196,0.09148979
0.43,0.702,0.08331942,0.09127235
0.431,0.705,0.08342084,0.090995789999999993
0.432,0.708,0.08352385,0.09065819
0.433,0.711,0.083628449999999993,0.09026337
0.434,0.714,0.08373459,0.08979988
0.435,0.717,0.08384227,0.0892868
0.436,0.72,0.08395149,0.08870506
0.437,0.723,0.084062220000000007,0.08806419
0.438,0.726,0.08417446,0.08737755
0.439,0.729,0.08428819,0.08670235
0.44,0.732,0.08440342,0.08604622
0.441,0.735,0.08452011,0.0854187
0.442,0.738,0.08463826,0.08481026
0.443,0.741,0.08475787,0.08423042
0.444,0.744,0.08487893,0.08366585
0.445,0.747,0.08500142,0.08313179
0.446,0.75,0.08512534,0.08261871
0.447,0.753,0.08525069,0.08213043
0.448,0.756,0.08537745,0.08166695
0.449,0.759,0.08550561,0.08122253
0.45,0.762,0.08563519,0.08080292
0.451,0.765,0.08576614,0.0804081
0.452,0.768,0.0858985,0.08003998
0.453,0.771,0.08603223,0.07968903
0.454,0.774,0.08616735,0.07936478
0.455,0.777,0.08630384,0.07906151
0.456,0.781,0.0864417,0.07878685
0.457,0.784,0.08658091,0.07852936
0.458,0.787,0.08672149,0.07830238
0.459,0.79,0.08686341,0.07809448
0.46,0.793,0.08700668,0.07790947
0.461,0.796,0.0871513,0.07775116
0.462,0.799,0.08729725,0.07761192
0.463,0.802,0.08744452,0.07749939
0.464,0.805,0.08759313,0.07740974
0.465,0.809,0.08774306,0.0773468
0.466,0.812,0.08789429,0.07729912
0.467,0.815,0.08804684,0.07728386
0.468,0.818,0.08820069,0.07728386
0.469,0.821,0.08835582,0.07731628
0.47,0.824,0.08851226,0.07736397
0.471,0.827,0.08866996,0.07744217
0.472,0.831,0.08882894,0.07753563
0.473,0.834,0.08898918,0.07766151
0.474,0.837,0.08915068,0.07780457
0.475,0.84,0.08931343,0.07797432
0.476,0.843,0.0894774,0.07816696
0.477,0.847,0.08964261,0.07838249
0.478,0.85,0.08980903,0.07862091
0.479,0.853,0.08997665,0.07888508
0.48,0.856,0.09014547,0.07916927
0.481,0.859,0.09031546,0.07948017
0.482,0.863,0.09048662,0.079813
0.483,0.866,0.09065893,0.08017063
0.484,0.869,0.09083237,0.08054924
0.485,0.872,0.09100693,0.08095455
0.486,0.875,0.0911826,0.08138084
0.487,0.879,0.09135935,0.08183193
0.488,0.882,0.09153718,0.08229542
0.489,0.885,0.09171606,0.08273888
0.49,0.888,0.09189597,0.08314419
0.491,0.892,0.0920769,0.08351803
0.492,0.895,0.09225882,0.08385944
0.493,0.898,0.09244172,0.08416653
0.494,0.902,0.09262559,0.08443928
0.495,0.905,0.09281038,0.08468056
0.496,0.908,0.09299611,0.0848875
0.497,0.911,0.09318274,0.08506107
0.498,0.915,0.09337024,0.08520126
0.499,0.918,0.0935586,0.08530807
0.5,0.921,0.09374782,0.0853796
0.501,0.925,0.09393785,0.08542156
0.502,0.928,0.09412869,0.08542728
0.503,0.931,0.09432033,0.08540058
0.504,0.935,0.09451272,0.0853405
0.505,0.938,0.09470589,0.08524609
0.506,0.941,0.09489978,0.08511925
0.507,0.945,0.0950944,0.08495808
0.508,0.948,0.09528972,0.08476353
0.509,0.951,0.09548574,0.08453846
0.51,0.955,0.09568243,0.0842762
0.511,0.958,0.0958798,0.08398247
0.512,0.961,0.09607782,0.08365536
0.513,0.965,0.09627648,0.08329296
0.514,0.968,0.09647579,0.08290005
0.515,0.972,0.09667572,0.08247089
0.516,0.975,0.09687626,0.08201027
0.517,0.978,0.09707742,0.08151627
0.518,0.982,0.09727919,0.08098793
